iso_code,location,total_cases,date,total_vaccinations_per_hundred,population_density
AFG,Afghanistan,55604.0,2021-02-22,0.0,54.422
AFG,Afghanistan,55714.0,2021-02-28,0.02,54.422
AFG,Afghanistan,55985.0,2021-03-16,0.13,54.422
AFG,Afghanistan,56676.0,2021-04-07,0.29,54.422
AFG,Afghanistan,57793.0,2021-04-22,0.58,54.422
AFG,Afghanistan,61842.0,2021-05-11,1.23,54.422
AFG,Afghanistan,63484.0,2021-05-20,1.33,54.422
AFG,Afghanistan,65728.0,2021-05-24,1.39,54.422
AFG,Afghanistan,65728.0,2021-05-26,1.44,54.422
AFG,Afghanistan,65728.0,2021-05-27,1.44,54.422
AFG,Afghanistan,70761.0,2021-05-30,1.46,54.422
AFG,Afghanistan,70761.0,2021-06-02,1.52,54.422
AFG,Afghanistan,70761.0,2021-06-03,1.53,54.422
AFG,Afghanistan,79224.0,2021-06-08,1.56,54.422
AFG,Afghanistan,89861.0,2021-06-14,1.61,54.422
AFG,Afghanistan,101906.0,2021-06-22,1.86,54.422
AFG,Afghanistan,114220.0,2021-06-27,2.03,54.422
AFG,Afghanistan,114220.0,2021-06-30,2.16,54.422
AFG,Afghanistan,124748.0,2021-07-05,2.23,54.422
AFG,Afghanistan,124748.0,2021-07-07,2.27,54.422
AFG,Afghanistan,133578.0,2021-07-11,2.34,54.422
AFG,Afghanistan,133578.0,2021-07-14,2.49,54.422
AFG,Afghanistan,140602.0,2021-07-18,2.66,54.422
AFG,Afghanistan,140602.0,2021-07-24,2.85,54.422
AFG,Afghanistan,152033.0,2021-08-20,2.92,54.422
AFG,Afghanistan,153033.0,2021-08-31,4.81,54.422
AFG,Afghanistan,154899.0,2021-09-30,5.76,54.422
AFG,Afghanistan,156512.0,2021-11-14,9.77,54.422
AFG,Afghanistan,157902.0,2021-12-27,11.37,54.422
AFG,Afghanistan,158345.0,2022-01-09,11.92,54.422
AFG,Afghanistan,158345.0,2022-01-11,11.97,54.422
AFG,Afghanistan,158345.0,2022-01-13,12.05,54.422
AFG,Afghanistan,158678.0,2022-01-17,12.12,54.422
AFG,Afghanistan,158678.0,2022-01-19,12.17,54.422
AFG,Afghanistan,159548.0,2022-01-24,12.27,54.422
AFG,Afghanistan,159548.0,2022-01-26,12.34,54.422
AFG,Afghanistan,159548.0,2022-01-27,12.35,54.422
AFG,Afghanistan,161666.0,2022-01-31,12.46,54.422
AFG,Afghanistan,161666.0,2022-02-02,12.53,54.422
AFG,Afghanistan,165712.0,2022-02-07,12.68,54.422
AFG,Afghanistan,170152.0,2022-02-14,12.94,54.422
AFG,Afghanistan,171930.0,2022-02-20,13.16,54.422
AFG,Afghanistan,173180.0,2022-02-27,13.46,54.422
AFG,Afghanistan,174347.0,2022-03-06,13.61,54.422
AFG,Afghanistan,176062.0,2022-03-17,13.93,54.422
AFG,Afghanistan,177039.0,2022-03-22,13.98,54.422
AFG,Afghanistan,177805.0,2022-04-04,14.28,54.422
AFG,Afghanistan,178090.0,2022-04-14,14.44,54.422
AFG,Afghanistan,178387.0,2022-04-18,14.46,54.422
AFG,Afghanistan,178648.0,2022-04-26,14.55,54.422
AFG,Afghanistan,178648.0,2022-04-27,14.55,54.422
AFG,Afghanistan,178879.0,2022-05-05,14.64,54.422
AFG,Afghanistan,178923.0,2022-05-08,14.65,54.422
AFG,Afghanistan,178923.0,2022-05-10,14.66,54.422
AFG,Afghanistan,179243.0,2022-05-15,14.75,54.422
AFG,Afghanistan,179674.0,2022-05-23,14.88,54.422
AFG,Afghanistan,180123.0,2022-06-01,15.01,54.422
AFG,Afghanistan,181033.0,2022-06-15,15.31,54.422
AFG,Afghanistan,181574.0,2022-06-21,15.45,54.422
AFG,Afghanistan,182072.0,2022-06-27,15.58,54.422
AFG,Afghanistan,182072.0,2022-06-30,15.67,54.422
AFG,Afghanistan,183219.0,2022-07-10,15.78,54.422
AFG,Afghanistan,183450.0,2022-07-17,16.31,54.422
AFG,Afghanistan,183450.0,2022-07-19,19.17,54.422
AFG,Afghanistan,184474.0,2022-07-27,19.55,54.422
AFG,Afghanistan,187046.0,2022-08-07,23.88,54.422
AFG,Afghanistan,188831.0,2022-08-15,27.27,54.422
AFG,Afghanistan,190435.0,2022-08-22,27.7,54.422
AFG,Afghanistan,192208.0,2022-08-31,28.11,54.422
AFG,Afghanistan,193887.0,2022-09-04,28.18,54.422
AFG,Afghanistan,195647.0,2022-09-11,28.51,54.422
AFG,Afghanistan,195647.0,2022-09-12,28.53,54.422
AFG,Afghanistan,197082.0,2022-09-19,28.74,54.422
AFG,Afghanistan,198283.0,2022-09-26,28.86,54.422
AFG,Afghanistan,198283.0,2022-09-28,28.89,54.422
AFG,Afghanistan,199272.0,2022-10-04,28.99,54.422
AFG,Afghanistan,200199.0,2022-10-11,29.06,54.422
AFG,Afghanistan,201096.0,2022-10-16,29.12,54.422
AFG,Afghanistan,202029.0,2022-10-24,29.31,54.422
AFG,Afghanistan,202834.0,2022-11-01,29.43,54.422
AFG,Afghanistan,202834.0,2022-11-02,29.52,54.422
AFG,Afghanistan,203618.0,2022-11-08,29.6,54.422
AFG,Afghanistan,204431.0,2022-11-15,29.67,54.422
AFG,Afghanistan,204431.0,2022-11-16,29.7,54.422
AFG,Afghanistan,205596.0,2022-11-27,29.85,54.422
AFG,Afghanistan,206164.0,2022-12-05,29.92,54.422
AFG,Afghanistan,206986.0,2022-12-22,30.27,54.422
AFG,Afghanistan,207579.0,2023-01-06,30.46,54.422
AFG,Afghanistan,207953.0,2023-01-16,30.64,54.422
AFG,Afghanistan,208097.0,2023-01-22,30.81,54.422
AFG,Afghanistan,208420.0,2023-01-29,30.84,54.422
AFG,Afghanistan,208856.0,2023-02-12,31.05,54.422
AFG,Afghanistan,208856.0,2023-02-14,31.09,54.422
AFG,Afghanistan,209086.0,2023-02-19,33.08,54.422
AFG,Afghanistan,209086.0,2023-02-23,33.82,54.422
AFG,Afghanistan,209251.0,2023-02-26,35.85,54.422
AFG,Afghanistan,209251.0,2023-02-28,36.7,54.422
AFG,Afghanistan,209369.0,2023-03-05,38.82,54.422
AFG,Afghanistan,209510.0,2023-03-12,39.51,54.422
AFG,Afghanistan,209510.0,2023-03-14,39.51,54.422
AFG,Afghanistan,209749.0,2023-03-19,40.06,54.422
AFG,Afghanistan,209749.0,2023-03-21,40.08,54.422
AFG,Afghanistan,210080.0,2023-03-26,40.11,54.422
AFG,Afghanistan,210080.0,2023-03-28,40.12,54.422
AFG,Afghanistan,210628.0,2023-04-02,40.33,54.422
AFG,Afghanistan,211512.0,2023-04-09,40.42,54.422
AFG,Afghanistan,211512.0,2023-04-11,40.59,54.422
AFG,Afghanistan,212612.0,2023-04-16,40.67,54.422
AFG,Afghanistan,212612.0,2023-04-18,40.91,54.422
AFG,Afghanistan,214070.0,2023-04-24,40.95,54.422
AFG,Afghanistan,214070.0,2023-04-25,40.96,54.422
AFG,Afghanistan,214880.0,2023-04-30,41.1,54.422
AFG,Afghanistan,214880.0,2023-05-03,41.14,54.422
AFG,Afghanistan,216756.0,2023-05-09,41.24,54.422
AFG,Afghanistan,218739.0,2023-05-14,41.48,54.422
AFG,Afghanistan,218739.0,2023-05-16,41.62,54.422
AFG,Afghanistan,220167.0,2023-05-21,42.5,54.422
AFG,Afghanistan,221217.0,2023-05-29,44.82,54.422
AFG,Afghanistan,221995.0,2023-06-06,47.93,54.422
AFG,Afghanistan,222526.0,2023-06-11,48.63,54.422
AFG,Afghanistan,222526.0,2023-06-13,48.66,54.422
AFG,Afghanistan,222959.0,2023-06-18,49.22,54.422
AFG,Afghanistan,222959.0,2023-06-20,49.42,54.422
AFG,Afghanistan,223156.0,2023-06-27,49.58,54.422
AFG,Afghanistan,223280.0,2023-07-04,49.75,54.422
AFG,Afghanistan,223606.0,2023-07-09,49.78,54.422
AFG,Afghanistan,223606.0,2023-07-11,49.93,54.422
AFG,Afghanistan,223785.0,2023-07-18,49.98,54.422
AFG,Afghanistan,224030.0,2023-07-23,50.03,54.422
AFG,Afghanistan,224030.0,2023-07-25,50.24,54.422
AFG,Afghanistan,224224.0,2023-07-30,50.4,54.422
AFG,Afghanistan,224224.0,2023-08-01,50.55,54.422
AFG,Afghanistan,224419.0,2023-08-06,50.66,54.422
AFG,Afghanistan,224419.0,2023-08-08,50.76,54.422
AFG,Afghanistan,224661.0,2023-08-15,50.91,54.422
AFG,Afghanistan,224870.0,2023-08-20,51.11,54.422
AFG,Afghanistan,225099.0,2023-08-27,51.35,54.422
AFG,Afghanistan,225099.0,2023-09-01,51.69,54.422
AFG,Afghanistan,225376.0,2023-09-05,51.72,54.422
AFG,Afghanistan,225592.0,2023-09-10,51.98,54.422
AFG,Afghanistan,225792.0,2023-09-17,52.19,54.422
